data,time
-41.11010294481313,50
-38.15565484269339,100
-42.76281364402614,150
-49.92977850173712,200
-44.30745081115011,250
-50.286223678955565,300
-49.537412722286895,350
-42.38343060483902,400
-39.70624325315019,450
-47.205549357115466,500
-16.412753821424182,550
-17.73796460278144,600
-14.023567591649629,650
-9.377923550056343,700
-8.61788547191648,750
-17.243449702264122,800
-9.041188631284703,850
-12.922244167194686,900
-13.040257957081824,950
-10.21468905064763,1000
-17.670276763313225,1050
-7.85940117218884,1100
-18.625779953410035,1150
-14.290331345262734,1200
-7.562268785304271,1250
-14.192888565334174,1300
-14.708854160839023,1350
-13.535623041418674,1400
-9.472392713409993,1450
-11.816841106516415,1500
-8.723094744406456,1550
-17.637013471244323,1600
-10.710215308087733,1650
-13.858069106397481,1700
-9.264058482938873,1750
-8.265593608207991,1800
-15.755023548697993,1850
-8.833293413304498,1900
-6.870689343850289,1950
-13.720966545043822,2000
