data,time
0.02639157734811306,272
0.02252515584230423,496
1.2530036401748657,732
1.4241732478141784,922
1.5514405250549317,1086
1.68595547914505,1261
1.8098913645744323,1415
1.9590497159957885,1568
2.2659634447097776,1776
2.374197549819946,1922
2.542790060043335,2084
2.795522484779358,2292
2.966721467971802,2466
3.2620588636398313,2737
3.541551933288574,2954
3.6650719451904297,3143
3.8187069845199586,3374
4.629810500144958,3874
5.137823266983032,4261
7.142480068206787,6583
10.270584630966187,8804
12.905983066558838,11117
14.50537260055542,13741
17.19890033721924,16284
20.132391662597655,18999
