data,time
34.0,34
16.0,50
12.0,62
54.0,116
11.0,127
24.0,151
30.0,181
13.0,194
12.0,206
66.0,272
18.0,290
25.0,315
22.0,337
18.0,355
19.0,374
26.0,400
30.0,430
14.0,444
33.0,477
19.0,496
14.0,510
22.0,532
18.0,550
14.0,564
35.0,599
48.0,647
22.0,669
16.0,685
25.0,710
22.0,732
14.0,746
19.0,765
31.0,796
17.0,813
24.0,837
15.0,852
14.0,866
14.0,880
21.0,901
21.0,922
30.0,952
16.0,968
16.0,984
13.0,997
11.0,1008
24.0,1032
12.0,1044
13.0,1057
13.0,1070
16.0,1086
19.0,1105
10.0,1115
11.0,1126
36.0,1162
20.0,1182
11.0,1193
12.0,1205
27.0,1232
15.0,1247
14.0,1261
15.0,1276
10.0,1286
22.0,1308
15.0,1323
23.0,1346
16.0,1362
8.0,1370
18.0,1388
10.0,1398
17.0,1415
11.0,1426
18.0,1444
32.0,1476
20.0,1496
10.0,1506
13.0,1519
13.0,1532
12.0,1544
14.0,1558
10.0,1568
30.0,1598
15.0,1613
14.0,1627
18.0,1645
11.0,1656
13.0,1669
20.0,1689
38.0,1727
16.0,1743
33.0,1776
14.0,1790
24.0,1814
9.0,1823
20.0,1843
13.0,1856
9.0,1865
18.0,1883
15.0,1898
15.0,1913
9.0,1922
15.0,1937
18.0,1955
20.0,1975
16.0,1991
17.0,2008
15.0,2023
19.0,2042
14.0,2056
12.0,2068
16.0,2084
16.0,2100
23.0,2123
26.0,2149
11.0,2160
16.0,2176
18.0,2194
20.0,2214
48.0,2262
17.0,2279
13.0,2292
17.0,2309
35.0,2344
10.0,2354
17.0,2371
18.0,2389
13.0,2402
17.0,2419
21.0,2440
9.0,2449
17.0,2466
14.0,2480
39.0,2519
14.0,2533
21.0,2554
31.0,2585
23.0,2608
22.0,2630
63.0,2693
23.0,2716
21.0,2737
17.0,2754
25.0,2779
39.0,2818
13.0,2831
14.0,2845
12.0,2857
31.0,2888
24.0,2912
19.0,2931
23.0,2954
14.0,2968
15.0,2983
15.0,2998
25.0,3023
39.0,3062
24.0,3086
14.0,3100
15.0,3115
15.0,3130
13.0,3143
16.0,3159
24.0,3183
14.0,3197
22.0,3219
22.0,3241
42.0,3283
15.0,3298
43.0,3341
21.0,3362
12.0,3374
38.0,3412
14.0,3426
32.0,3458
33.0,3491
70.0,3561
43.0,3604
56.0,3660
21.0,3681
148.0,3829
45.0,3874
22.0,3896
36.0,3932
54.0,3986
25.0,4011
23.0,4034
40.0,4074
28.0,4102
47.0,4149
39.0,4188
73.0,4261
36.0,4297
35.0,4332
106.0,4438
76.0,4514
500.0,5014
217.0,5231
436.0,5667
313.0,5980
322.0,6302
281.0,6583
226.0,6809
371.0,7180
198.0,7378
212.0,7590
156.0,7746
204.0,7950
174.0,8124
163.0,8287
333.0,8620
184.0,8804
235.0,9039
273.0,9312
197.0,9509
241.0,9750
262.0,10012
168.0,10180
212.0,10392
194.0,10586
278.0,10864
253.0,11117
400.0,11517
220.0,11737
315.0,12052
268.0,12320
248.0,12568
304.0,12872
254.0,13126
195.0,13321
211.0,13532
209.0,13741
208.0,13949
293.0,14242
304.0,14546
295.0,14841
241.0,15082
246.0,15328
236.0,15564
262.0,15826
199.0,16025
259.0,16284
329.0,16613
444.0,17057
211.0,17268
229.0,17497
240.0,17737
243.0,17980
241.0,18221
272.0,18493
221.0,18714
285.0,18999
201.0,19200
242.0,19442
311.0,19753
