data,time
0.02639157734811306,191
0.02252515584230423,446
1.265146596431732,656
1.3257309818267822,807
1.4434483933448792,948
1.6007654404640197,1113
1.747287518978119,1299
1.9127857732772826,1485
2.0150877904891966,1640
2.224278893470764,1804
2.4605181312561033,2007
2.7815332078933714,2237
2.929570379257202,2406
3.100837802886963,2624
3.1878274297714233,2819
3.741277074813843,3118
4.276757583618164,3738
6.531657981872558,5737
9.197262382507324,8071
12.10918508529663,10682
15.065237293243408,13099
17.577935523986817,15435
20.34358388900757,17976
