data,time
10.0,10
17.0,27
17.0,44
18.0,62
16.0,78
20.0,98
32.0,130
39.0,169
12.0,181
10.0,191
17.0,208
21.0,229
25.0,254
16.0,270
16.0,286
14.0,300
54.0,354
19.0,373
53.0,426
20.0,446
25.0,471
18.0,489
9.0,498
24.0,522
23.0,545
24.0,569
45.0,614
12.0,626
20.0,646
10.0,656
17.0,673
17.0,690
15.0,705
16.0,721
11.0,732
12.0,744
26.0,770
11.0,781
16.0,797
10.0,807
16.0,823
13.0,836
11.0,847
11.0,858
30.0,888
8.0,896
10.0,906
13.0,919
15.0,934
14.0,948
23.0,971
16.0,987
19.0,1006
10.0,1016
17.0,1033
12.0,1045
14.0,1059
13.0,1072
30.0,1102
11.0,1113
22.0,1135
20.0,1155
16.0,1171
12.0,1183
24.0,1207
11.0,1218
11.0,1229
47.0,1276
13.0,1289
10.0,1299
19.0,1318
18.0,1336
27.0,1363
17.0,1380
14.0,1394
12.0,1406
16.0,1422
14.0,1436
31.0,1467
18.0,1485
16.0,1501
32.0,1533
16.0,1549
13.0,1562
9.0,1571
14.0,1585
15.0,1600
19.0,1619
9.0,1628
12.0,1640
26.0,1666
11.0,1677
19.0,1696
18.0,1714
9.0,1723
26.0,1749
13.0,1762
16.0,1778
14.0,1792
12.0,1804
10.0,1814
26.0,1840
12.0,1852
21.0,1873
14.0,1887
49.0,1936
9.0,1945
13.0,1958
23.0,1981
26.0,2007
16.0,2023
16.0,2039
22.0,2061
19.0,2080
14.0,2094
15.0,2109
18.0,2127
54.0,2181
11.0,2192
45.0,2237
22.0,2259
14.0,2273
18.0,2291
19.0,2310
17.0,2327
18.0,2345
20.0,2365
15.0,2380
10.0,2390
16.0,2406
22.0,2428
14.0,2442
38.0,2480
24.0,2504
19.0,2523
38.0,2561
22.0,2583
12.0,2595
16.0,2611
13.0,2624
22.0,2646
27.0,2673
17.0,2690
14.0,2704
37.0,2741
11.0,2752
12.0,2764
26.0,2790
17.0,2807
12.0,2819
38.0,2857
10.0,2867
16.0,2883
28.0,2911
72.0,2983
13.0,2996
28.0,3024
34.0,3058
15.0,3073
45.0,3118
53.0,3171
59.0,3230
36.0,3266
73.0,3339
50.0,3389
129.0,3518
61.0,3579
100.0,3679
17.0,3696
42.0,3738
369.0,4107
170.0,4277
159.0,4436
171.0,4607
170.0,4777
170.0,4947
274.0,5221
217.0,5438
126.0,5564
173.0,5737
207.0,5944
202.0,6146
198.0,6344
189.0,6533
207.0,6740
500.0,7240
226.0,7466
188.0,7654
224.0,7878
193.0,8071
226.0,8297
200.0,8497
235.0,8732
297.0,9029
226.0,9255
250.0,9505
196.0,9701
264.0,9965
338.0,10303
379.0,10682
214.0,10896
236.0,11132
239.0,11371
289.0,11660
179.0,11839
262.0,12101
193.0,12294
199.0,12493
393.0,12886
213.0,13099
290.0,13389
254.0,13643
203.0,13846
254.0,14100
239.0,14339
163.0,14502
221.0,14723
197.0,14920
247.0,15167
268.0,15435
318.0,15753
214.0,15967
290.0,16257
336.0,16593
241.0,16834
274.0,17108
262.0,17370
194.0,17564
204.0,17768
208.0,17976
193.0,18169
261.0,18430
255.0,18685
316.0,19001
232.0,19233
243.0,19476
249.0,19725
231.0,19956
