data,time
26.0,26
17.0,43
36.0,79
14.0,93
14.0,107
32.0,139
16.0,155
21.0,176
12.0,188
25.0,213
13.0,226
12.0,238
24.0,262
18.0,280
15.0,295
33.0,328
15.0,343
50.0,393
27.0,420
25.0,445
19.0,464
14.0,478
17.0,495
19.0,514
14.0,528
16.0,544
20.0,564
15.0,579
33.0,612
14.0,626
22.0,648
17.0,665
11.0,676
16.0,692
18.0,710
35.0,745
23.0,768
25.0,793
13.0,806
11.0,817
15.0,832
13.0,845
13.0,858
61.0,919
11.0,930
21.0,951
30.0,981
32.0,1013
14.0,1027
33.0,1060
23.0,1083
20.0,1103
16.0,1119
19.0,1138
19.0,1157
10.0,1167
16.0,1183
16.0,1199
17.0,1216
20.0,1236
14.0,1250
14.0,1264
14.0,1278
55.0,1333
11.0,1344
21.0,1365
19.0,1384
12.0,1396
11.0,1407
33.0,1440
24.0,1464
14.0,1478
18.0,1496
17.0,1513
23.0,1536
20.0,1556
18.0,1574
16.0,1590
25.0,1615
12.0,1627
14.0,1641
11.0,1652
20.0,1672
11.0,1683
24.0,1707
31.0,1738
16.0,1754
18.0,1772
28.0,1800
9.0,1809
16.0,1825
18.0,1843
26.0,1869
16.0,1885
20.0,1905
12.0,1917
17.0,1934
12.0,1946
21.0,1967
15.0,1982
40.0,2022
19.0,2041
13.0,2054
32.0,2086
33.0,2119
21.0,2140
9.0,2149
15.0,2164
43.0,2207
47.0,2254
35.0,2289
22.0,2311
28.0,2339
18.0,2357
18.0,2375
26.0,2401
23.0,2424
11.0,2435
20.0,2455
29.0,2484
12.0,2496
10.0,2506
20.0,2526
43.0,2569
22.0,2591
16.0,2607
12.0,2619
22.0,2641
37.0,2678
11.0,2689
22.0,2711
16.0,2727
22.0,2749
20.0,2769
54.0,2823
19.0,2842
25.0,2867
85.0,2952
13.0,2965
58.0,3023
9.0,3032
40.0,3072
15.0,3087
41.0,3128
29.0,3157
50.0,3207
11.0,3218
14.0,3232
46.0,3278
104.0,3382
62.0,3444
15.0,3459
35.0,3494
16.0,3510
82.0,3592
